suggestionId,author,title,category,votes,timestamp,segment,n_comments,author_bt,author_comm,author_role,success,log_comments,bt_z
49997,camptatum,"Please, please give me a star for each coffee I purchase",Starbucks+Card,350940,2012-10-01 19:33:00,top,50.0,,,,1,3.9318256327243257,
41944,katlatte,Buy 10 get 1 free!-,"Ordering,+Payment+%26+Pick-Up",107790,2008-05-13 19:33:00,top,50.0,,,,1,3.9318256327243257,
102990,ZGdoglvr,Almond Milk Please,Coffee+%26+Espresso+Drinks,95420,2011-08-09 10:10:00,top,38.0,,,,1,3.6635616461296463,
38067,conniemx,Great conversation at Starbucks?,Building+Community,95190,2008-03-24 20:47:00,top,49.0,,,,1,3.912023005428146,
10194,deetfind,Recycling,Social+Responsibility,90960,2008-10-09 10:28:00,top,2.0,,,,1,1.0986122886681098,
107407,evanschwa,Alternatives to dairy and soy,Coffee+%26+Espresso+Drinks,90870,2010-11-03 11:38:00,top,50.0,,,,1,3.9318256327243257,
49697,ibarista,Rewards for number of years at Gold Status,Starbucks+Card,81400,2013-10-16 09:40:00,top,50.0,,,,1,3.9318256327243257,
46359,hjohnson14,Electronic Rewards,Starbucks+Card,80760,2011-04-15 20:18:00,top,0.0,,,,1,0.0,
77507,stef6886,Birthday Brew,Other+Product+Ideas,79420,2008-03-19 12:11:00,top,50.0,,,,1,3.9318256327243257,
48918,schteekaline,Have double or triple points days,Starbucks+Card,73480,2013-10-30 01:29:00,top,50.0,,,,1,3.9318256327243257,
50089,hmaxone,Black Rewards Level!? (higher than gold),Starbucks+Card,71570,2012-09-20 22:37:00,top,11.0,5.140348220255206e-10,18.0,contributor,1,2.4849066497880004,-0.6229913513203164
47738,jiujitsugirl,Bring back Free Syrup / Soy for My Rewards members,Starbucks+Card,68280,2012-09-18 06:19:00,top,50.0,,,,1,3.9318256327243257,
50020,Rufusrw,WiFi,Atmosphere+%26+Locations,67200,2008-03-19 13:33:00,top,6.0,,,,1,1.9459101490553132,
48817,Orlando,10% Bonus on Starbucks Card Reloads,Starbucks+Card,63110,2008-03-24 08:31:00,top,50.0,,,,1,3.9318256327243257,
49531,RMnmtkl,Connect Treat Receipt to Gold Card,Starbucks+Card,61430,2013-07-24 18:44:00,top,49.0,5.553017086026915e-06,3.0,contributor,1,3.912023005428146,-0.6229177326019356
49800,Highlandsgirl8,Email a reminder before Free Drink Reward and Birthday Gifts expire.,Starbucks+Card,60300,2013-10-16 05:45:00,top,50.0,,,,1,3.9318256327243257,
99650,freesyrup,Free syrup for gold rewards cards,Coffee+%26+Espresso+Drinks,52220,2013-11-20 18:09:00,top,50.0,,,,1,3.9318256327243257,
48908,Bristolian,Notify barista on-screen of card reward.,Starbucks+Card,45060,2013-04-15 15:50:00,top,48.0,,,,1,3.8918202981106265,
204,Suz01,"I'll buy you a drink"" - remotely",Other+Product+Ideas,43950,2008-03-20 23:45:00,top,50.0,5.195148194119287e-07,10.0,contributor,1,3.9318256327243257,-0.622984470068339
26236,4XXS,Automatic ordering via swipe of card,"Ordering,+Payment+%26+Pick-Up",39950,2008-03-19 11:18:00,top,50.0,,,,1,3.9318256327243257,
11040,IMWizOrt,Starbucks VIP Card,Other+Experience+Ideas,39570,2008-03-19 12:09:00,top,50.0,,,,1,3.9318256327243257,
99570,csallred,Free Drink when you purchase a mug or tumbler,Coffee+%26+Espresso+Drinks,38900,2013-11-05 12:59:00,top,50.0,,,,1,3.9318256327243257,
101487,suzy_mocha,special discounts days for your gold card members,Coffee+%26+Espresso+Drinks,38100,2013-11-20 18:36:00,top,49.0,,,,1,3.912023005428146,
35157,janlooper,Name badges for baristas,Building+Community,37590,2010-06-14 16:23:00,top,50.0,,,,1,3.9318256327243257,
41982,Captain4,Gratuity when using gift card,"Ordering,+Payment+%26+Pick-Up",37470,2010-06-09 18:38:00,top,21.0,,,,1,3.091042453358316,
48179,PowerFactory,Reward Drink Expiration,Starbucks+Card,36830,2013-10-18 10:55:00,top,50.0,,,,1,3.9318256327243257,
64629,cns0714,Please add some VEGAN snacks and sweets options!!,Food,36430,2012-01-03 16:45:00,top,15.0,,,,1,2.772588722239781,
99634,ElitheCat,3 shots in a venti espresso drink,Coffee+%26+Espresso+Drinks,36130,2013-11-06 20:38:00,top,50.0,,,,1,3.9318256327243257,
98053,meme,sell  reusable sleeves,Merchandise+%26+Music,32980,2008-03-19 12:02:00,top,50.0,,,,1,3.9318256327243257,
108171,mransom,Coffee ice cubes for iced drinks,Coffee+%26+Espresso+Drinks,32720,2010-09-28 11:19:00,top,49.0,,,,1,3.912023005428146,
64198,fictoriee,Gluten Free Please...,Food,32570,2013-01-05 10:06:00,top,8.0,,,,1,2.1972245773362196,
107595,MyDora,"Have a option of dark chocolate in coffee, espresso, and frap drinks.  It's good for the heart!",Coffee+%26+Espresso+Drinks,32190,2012-09-14 10:58:00,top,50.0,,,,1,3.9318256327243257,
27700,Brendan,separate brewed coffee line/card swiping,"Ordering,+Payment+%26+Pick-Up",30690,2008-04-28 14:40:00,top,34.0,,,,1,3.5553480614894135,
99511,Jessica85,Bring back FREE syrups?!?,Coffee+%26+Espresso+Drinks,29370,2013-11-20 18:11:00,top,31.0,,,,1,3.4657359027997265,
27511,pinoak19,"How about ""A Penny to Fight PKD"" Campaign?",Building+Community,29300,2008-03-29 10:14:00,top,50.0,,,,1,3.9318256327243257,
46018,timsqueen,Bring back Gold Rewards,Starbucks+Card,29120,2012-09-18 13:00:00,top,27.0,,,,1,3.332204510175204,
49985,Diele,Star Milestone Incentives,Starbucks+Card,28800,2010-09-08 17:34:00,top,47.0,0.005592011333523047,0.0,contributor,1,3.871201010907891,-0.5488488130982775
93129,bonebag227,Lactose Free Milk Option,Coffee+%26+Espresso+Drinks,26720,2010-08-08 18:59:00,top,49.0,,,,1,3.912023005428146,
116312,kaichela,Free drink on your gold day anniversary,Frappuccino+Beverages,26510,2013-11-20 18:15:00,top,50.0,,,,1,3.9318256327243257,
46449,ElisabethsTeam,Keep Free Syrups!,Starbucks+Card,24170,2012-09-18 08:00:00,top,49.0,,,,1,3.912023005428146,
50223,mzwynter,You have lost the community coffee house feel,Atmosphere+%26+Locations,24130,2008-03-20 15:35:00,top,48.0,,,,1,3.8918202981106265,
107408,emd220,3 shots in a venti espresso drinks,Coffee+%26+Espresso+Drinks,24080,2013-11-20 18:05:00,top,50.0,,,,1,3.9318256327243257,
2197,Lisa,Reusable cups,Social+Responsibility,23010,2008-03-19 12:23:00,top,50.0,,,,1,3.9318256327243257,
107602,diek,Bring back the Mocha Valencia,Coffee+%26+Espresso+Drinks,22390,2012-02-17 16:47:00,top,24.0,,,,1,3.2188758248682006,
44571,Momx4,Bring Back Original Gold Card,Starbucks+Card,21970,2010-01-21 10:02:00,top,1.0,,,,1,0.6931471805599453,
54643,JoAnna,Sofas and Chairs,Atmosphere+%26+Locations,21910,2009-02-12 09:21:00,top,33.0,,,,1,3.5263605246161616,
42206,Starryeyes,Please change the expiration date on free drinks earned from 30 days to at least 90 days!with my gold card.  Expiration after 30 days is not enough!,"Ordering,+Payment+%26+Pick-Up",21800,2013-04-08 13:03:00,top,44.0,,,,1,3.8066624897703196,
26714,bec,Raise the Cup Discount,"Ordering,+Payment+%26+Pick-Up",21780,2008-03-25 19:41:00,top,33.0,,,,1,3.5263605246161616,
96541,colemkiniry,Offer a Skinny Pumpkin Spice Latte!!,Coffee+%26+Espresso+Drinks,21330,2010-09-23 10:04:00,top,34.0,,,,1,3.5553480614894135,
218,Goonie,"Lose the high-fructose corn syrup (in flavor shots), go for real sugar",Tea+%26+Other+Drinks,20170,2008-03-19 17:30:00,top,41.0,,,,1,3.7376696182833684,
55658,bobreese,Sanitation In Bathrooms,Atmosphere+%26+Locations,19590,2008-03-19 11:38:00,top,48.0,,,,1,3.8918202981106265,
42351,JadedBarista,Improve the Rewards Program,"Ordering,+Payment+%26+Pick-Up",19530,2013-09-09 22:07:00,top,50.0,,,,1,3.9318256327243257,
83333,IronGuar,"Less Ice, More Drink",Tea+%26+Other+Drinks,19430,2008-03-31 07:43:00,top,50.0,,,,1,3.9318256327243257,
66168,PartnerMolly,Mark down prices in the evening for food that will be marked out that night.,Food,18810,2013-11-01 16:44:00,top,50.0,,,,1,3.9318256327243257,
64056,jcsoda,Half-off Pasteries after 9 P.M.,Food,18690,2008-04-11 08:10:00,top,43.0,,,,1,3.784189633918261,
49669,stjapkes,Load email offers on starbucks card,Starbucks+Card,18610,2013-11-06 12:25:00,top,37.0,,,,1,3.6375861597263857,
48956,musikdude,Year End Total Bonus Reward,Starbucks+Card,18120,2013-11-20 18:44:00,top,49.0,,,,1,3.912023005428146,
93886,zkatk,Bring Back Almond!,Coffee+%26+Espresso+Drinks,18040,2010-05-13 19:22:00,top,48.0,,,,1,3.8918202981106265,
50866,Judy,I could use a shelf!,Atmosphere+%26+Locations,18040,2008-03-20 16:13:00,top,50.0,,,,1,3.9318256327243257,
82769,GrandeSFVLatte,Paperless Treat Receipts for gold card members,New+Technology,17700,2010-10-14 14:45:00,top,29.0,,,,1,3.4011973816621555,
49463,usedtobeafan,Require licensee stores to participate in rewards and card programs,Starbucks+Card,17530,2013-11-14 09:00:00,top,50.0,,,,1,3.9318256327243257,
49915,starbaby,"More kid friendly? Please, no.",Atmosphere+%26+Locations,17400,2008-03-19 16:19:00,top,49.0,,,,1,3.912023005428146,
67725,Julieyum,Please bring back old bakery goods!,Food,17080,2013-06-10 15:07:00,top,50.0,,,,1,3.9318256327243257,
26242,CustIdea0001,Happy Hours,"Ordering,+Payment+%26+Pick-Up",16890,2008-03-18 15:21:00,top,48.0,0.003066686037294412,9.0,contributor,1,3.8918202981106265,-0.5823312281619609
49925,catville,Later Weekend Hours,Atmosphere+%26+Locations,16810,2008-03-19 12:03:00,top,49.0,,,,1,3.912023005428146,
108169,coffeediva212,Stop charging $0.60 extra for SOY!,Coffee+%26+Espresso+Drinks,16430,2013-11-20 18:13:00,top,50.0,,,,1,3.9318256327243257,
104331,moonfish124,More Products Made in the USA,Merchandise+%26+Music,16370,2010-11-07 03:35:00,top,23.0,,,,1,3.1780538303479458,
103058,VicHugo,Make sure customers get full drinks.,Coffee+%26+Espresso+Drinks,16350,2011-04-18 11:42:00,top,50.0,,,,1,3.9318256327243257,
53044,jerilee,no smoking by front door,Atmosphere+%26+Locations,16290,2008-05-11 17:54:00,top,50.0,,,,1,3.9318256327243257,
2185,DoctorT,Biodegradable drink & food containers,Social+Responsibility,16100,2008-03-19 13:58:00,top,28.0,,,,1,3.367295829986474,
92385,MarshaDell,Coupons for Tea Drinkers,Tea+%26+Other+Drinks,16040,2013-04-23 09:52:00,top,50.0,,,,1,3.9318256327243257,
107368,ckenndy3,earned rewards never expire,Coffee+%26+Espresso+Drinks,15930,2013-11-22 12:50:00,top,20.0,,,,1,3.044522437723423,
26234,chriss,Get rid of tip jars,"Ordering,+Payment+%26+Pick-Up",15900,2008-03-19 11:23:00,top,50.0,,,,1,3.9318256327243257,
87686,Queen423,Sugar - free Chai Tea Latte,Tea+%26+Other+Drinks,15220,2011-09-21 10:05:00,top,10.0,,,,1,2.3978952727983707,
107697,ruvain,Transactions,Coffee+%26+Espresso+Drinks,14380,2013-11-20 18:20:00,top,20.0,,,,1,3.044522437723423,
45565,{FBE035B4-857F-4ACC-9600-4FBF30DCD3A4},Flexible Gold Card Benefits,Starbucks+Card,14370,2011-10-20 16:35:00,top,50.0,0.0,39.0,contributor,1,3.9318256327243257,-0.6229913581357263
107585,CoffeeAddikt,BRING BACK the FREE Tall beverage with the purchase of a bag of coffee,Coffee+%26+Espresso+Drinks,14370,2012-11-01 19:42:00,top,27.0,,,,1,3.332204510175204,
102548,chu,free drink/food award that does not expire,Coffee+%26+Espresso+Drinks,14360,2013-11-20 19:13:00,top,18.0,,,,1,2.9444389791664403,
95592,tulefog,"Plain soymilk, no sugar",Coffee+%26+Espresso+Drinks,14260,2011-05-13 07:06:00,top,14.0,,,,1,2.70805020110221,
16351,MamaMcCarl,Barista Appreciation Day,Other+Experience+Ideas,14080,2011-01-03 10:51:00,top,45.0,,,,1,3.828641396489095,
107842,Lindzpy87,Take High Fructose Corn Syrup out of the Caramel Sauce,Coffee+%26+Espresso+Drinks,14030,2012-04-19 11:36:00,top,28.0,0.00039420254022316125,33.0,contributor,1,3.367295829986474,-0.6177647629360419
83383,HG,Soy charge,Tea+%26+Other+Drinks,13830,2008-03-23 21:15:00,top,50.0,,,,1,3.9318256327243257,
99605,SteffiR,Less ice on cold drinks.. And more of the cold drink itself!,Coffee+%26+Espresso+Drinks,13790,2013-11-20 18:11:00,top,32.0,2.3132559636508142e-07,25.0,client,1,3.4965075614664802,-0.6229882910696165
49341,zuroffh1,Bring back free extras for gold card.,Starbucks+Card,13210,2013-11-20 18:19:00,top,35.0,,,,1,3.58351893845611,
67761,mickey,Sugar Free / Low Carb / Gluten Free,Food,13120,2008-03-20 20:02:00,top,50.0,,,,1,3.9318256327243257,
45497,kmi29,Starbucks Mini Gold Card,Starbucks+Card,12940,2010-03-25 21:45:00,top,38.0,,,,1,3.6635616461296463,
338,wychykelly,Bring back Mocha Coconut and Coconut Crme Frappuccino Blended Beverages,Frappuccino+Beverages,12650,2014-04-06 06:48:00,top,49.0,,,,1,3.912023005428146,
40225,lilikoi,Double points day!,Starbucks+Card,12540,2011-06-25 13:53:00,top,49.0,6.586024794493354e-06,13.0,client,1,3.912023005428146,-0.6229040363098537
67800,mlbarber,Bring Back at Least Some of Original Pastry Line,Food,12540,2013-11-05 11:55:00,top,47.0,,,,1,3.871201010907891,
82990,benchley2,Order through app,New+Technology,12340,2012-07-12 19:57:00,top,50.0,,,,1,3.9318256327243257,
54638,mulderjam,local art in stores please,Atmosphere+%26+Locations,12140,2009-01-28 16:50:00,top,8.0,3.0855144362815734e-06,35.0,client,1,2.1972245773362196,-0.6229504483665196
42302,mynameislauren,Increase personal cup discount with prices please!,"Ordering,+Payment+%26+Pick-Up",12130,2012-03-27 16:04:00,top,31.0,,,,1,3.4657359027997265,
20273,gretchen1109,Rewards at Target,Other+Experience+Ideas,12120,2013-11-20 18:47:00,top,4.0,,,,1,1.6094379124341003,
30332,MimiSnn,Coupons,"Ordering,+Payment+%26+Pick-Up",12120,2008-12-15 09:59:00,top,18.0,,,,1,2.9444389791664403,
11081,julieC,Voting system on this site.,Other+Experience+Ideas,12080,2008-03-19 13:44:00,top,31.0,3.990185285558116e-09,9.0,client,1,3.4657359027997265,-0.622991305231239
26237,CustIdea0001,Want my drink to taste the same at all stores,"Ordering,+Payment+%26+Pick-Up",12070,2008-03-18 15:21:00,top,50.0,0.003066686037294412,9.0,contributor,1,3.9318256327243257,-0.5823312281619609
96371,quadshotabe,Samples Days,Coffee+%26+Espresso+Drinks,11840,2009-06-03 06:02:00,top,31.0,,,,1,3.4657359027997265,
116577,lrschear,More Comfortable Seating Areas,Atmosphere+%26+Locations,11780,2009-12-08 13:20:00,top,47.0,,,,1,3.871201010907891,
50033,cmlstudio,Allow free  rewards to last longer than 30 days,Starbucks+Card,11770,2014-04-22 12:57:00,top,40.0,,,,1,3.713572066704308,
92051,crnemz,More Variety For Tea Drinkers,Tea+%26+Other+Drinks,11700,2010-03-31 22:05:00,top,50.0,,,,1,3.9318256327243257,
48915,bjolliff,Earned Free Drinks should not expire so quickly,Starbucks+Card,11680,2013-11-20 18:36:00,top,34.0,,,,1,3.5553480614894135,
50010,sadinjc,A drain to pour out the extra coffee,Atmosphere+%26+Locations,11580,2008-03-19 13:54:00,top,49.0,0.0,9.0,client,1,3.912023005428146,-0.6229913581357263
49323,pittsburgh0912,Golden Anniversary,Starbucks+Card,11530,2013-11-20 18:43:00,top,12.0,,,,1,2.5649493574615367,
93711,44rsleave,Stevia! Please!,Coffee+%26+Espresso+Drinks,11310,2010-07-14 06:27:00,top,20.0,,,,1,3.044522437723423,
2141,claudiag,Real cups/mugs,Social+Responsibility,11150,2008-03-19 20:32:00,top,30.0,,,,1,3.4339872044851463,
37194,rotto,Use notifications or calendar reminder for expiring free drinks,"Ordering,+Payment+%26+Pick-Up",10960,2013-10-29 16:15:00,top,19.0,,,,1,2.995732273553991,
67980,Horseman1,Need more pasteries a diabetic can eat. Most stores cary none.,Food,10850,2011-04-28 10:51:00,top,15.0,,,,1,2.772588722239781,
116302,roknrobn,Frappy Hour,Frappuccino+Beverages,10790,2010-05-06 05:57:00,top,36.0,,,,1,3.6109179126442243,
50094,anna80020,personalized cards,Starbucks+Card,10710,2013-10-23 09:06:00,top,28.0,,,,1,3.367295829986474,
55661,NightNurses,Have late night locations near hospitals,Atmosphere+%26+Locations,10610,2009-12-13 23:33:00,top,43.0,,,,1,3.784189633918261,
101269,play2windad,Custom Tee Shirt with Personal Drink Order,Merchandise+%26+Music,10460,2009-07-17 09:26:00,top,5.0,,,,1,1.791759469228055,
93643,julywest,DARK CHOCOLATE,Coffee+%26+Espresso+Drinks,10430,2010-01-06 12:59:00,top,47.0,,,,1,3.871201010907891,
49947,Freddie,More laptop power connections,Atmosphere+%26+Locations,10420,2008-03-19 12:20:00,top,31.0,,,,1,3.4657359027997265,
108177,omggmo,Need organic and non-gmo options at STARBUCKS,Coffee+%26+Espresso+Drinks,10320,2014-03-07 15:55:00,top,30.0,,,,1,3.4339872044851463,
116288,dkchocodrinker,Bring back Dark Chocolate Mocha Frappuccion!,Frappuccino+Beverages,10290,2011-01-05 05:34:00,top,24.0,2.373715039937291e-06,28.0,client,1,3.2188758248682006,-0.622959885868637
30579,Tmhennings,Put Names on the Cup in all stores,"Ordering,+Payment+%26+Pick-Up",10150,2009-06-18 14:17:00,top,20.0,,,,1,3.044522437723423,
111722,drinks1,frap mix - bring back the old mix!!,Frappuccino+Beverages,10140,2010-04-10 17:41:00,top,50.0,,,,1,3.9318256327243257,
95720,crwkaw2000,light soy milk,Coffee+%26+Espresso+Drinks,10050,2011-07-11 06:19:00,top,0.0,,,,1,0.0,
92996,greatmoc,Reward your steady customers,Coffee+%26+Espresso+Drinks,10040,2009-12-08 12:02:00,top,32.0,,,,1,3.4965075614664802,
