node,community,betweenness,inter_edge_weight
Melody,4,0.2912518746671807,296.0
Nebrhuskr,4,0.03861339379069125,283.0
TKboss,4,0.08952069067934992,267.0
1suzeeq,4,0.09633186313350486,186.0
levis1girl,0,0.014947109825752048,184.0
RealSnowWhite,4,0.0349418194562314,160.0
kaylapedia,4,0.046758752043162495,154.0
RLSMED,0,0.01802430009958089,125.0
INCHRISTICANDO,7,0.02498548260061158,124.0
justpris,0,0.016813147985177936,118.0
MsLisaWA,13,0.005781353377813872,97.0
kioraatua,4,0.007020910814720828,96.0
cita24,0,0.009533650717352947,94.0
COFFEEIS,1,0.04182444246051457,93.0
MarkM77,7,0.024635966203073293,91.0
SirMark,1,0.03130885313584803,84.0
yaycafelatte,0,0.00710481911423485,82.0
Mochabby,0,0.030647843956428986,80.0
Rikker,2,0.021747153576320524,80.0
djbruce,0,0.006118379706094873,80.0
cupajoe4evamoe,1,0.02936959787512872,79.0
minniebunny,0,0.007571830564959764,78.0
caseyhoux,0,0.009185159638679285,77.0
CamSpi,3,0.020029415738121736,72.0
ben206,2,0.009899458190206493,62.0
Callie_,8,0.004043802186981292,60.0
Diele,1,0.016748051610418802,58.0
jotaylor2,0,0.014112197542549129,57.0
amynico,8,0.002254108249243235,56.0
piratemomma3,9,0.0029866221702683523,55.0
RavnWyng,4,0.020056722415469304,55.0
lulu_bee23,13,0.002749455575341799,54.0
thommie,2,0.01520844956184026,52.0
thedennisclan1,0,0.0032795122662518787,52.0
happyLatte,5,0.0015114535574317647,52.0
Zoltan,5,0.0014497842098867822,52.0
famof5,5,0.0014497842098867822,52.0
caliirishfan,0,0.004146613318098868,51.0
tr60mtp,13,0.00174682773050689,51.0
xuxa,8,0.0033051883846944127,51.0
papalvarado,4,0.012920564064747281,51.0
ktr010,0,0.0016196782681729162,50.0
ashesvondust,13,0.0043798020489691294,50.0
JordanLCox,7,0.005781202263749752,50.0
ekdc,13,0.006209496148031055,50.0
sehrishali16,5,0.0014975362581235848,49.0
sheri402,13,0.004083858700805763,49.0
BrendaVann,0,0.0030196541857775198,49.0
MissJackiTX,4,0.005328172927602911,49.0
KrystalCap,8,0.00282431432020337,49.0
cvln94,7,0.002074455474100527,49.0
nikkishear,4,0.014304519222281306,49.0
leahsmith101,5,0.005008575082604557,49.0
joe9614,0,0.004967107090488976,49.0
JCLSpkt,2,0.009187786939418593,48.0
Jelly_Rosie,0,0.003171200862152941,48.0
deliciousdrink,4,0.011268742435658424,48.0
nanapeanut,0,0.0018384314770835855,48.0
christam,1,0.010718912456772664,48.0
mochalvr,7,0.03315407817449588,48.0
kylizzle,16,0.0430048566006626,48.0
archie8400,0,0.004277204098095259,47.0
karamia,0,0.004015338950792935,47.0
David1977,4,0.0033416160699755487,47.0
Suspecthree,0,0.0025824989707675305,47.0
jbranzovsky,5,0.0022093820738287875,47.0
gypsy,3,0.0018794546152611055,47.0
Gam51,2,0.010175325084015379,47.0
saram,14,0.002117442613596137,47.0
Coachella,0,0.004182991503775063,46.0
thejavamom,0,0.006839990539780248,46.0
kekekeitsangee,0,0.0019526277336310346,46.0
masterd1996,0,0.0014485097486601635,46.0
MovieStarDude,0,0.0014485097486601635,46.0
mrfusion,3,0.006803511615594871,46.0
chefmela,7,0.009961704187318336,46.0
MiMi0688,0,0.00391211394416737,46.0
studentc,0,0.003025873638126572,46.0
ajfox,2,0.01731662454961638,45.0
3xLatte,0,0.0014586913119570574,45.0
magrady,4,0.0040474623501881276,45.0
ManUtd,3,0.003374094520725623,45.0
sdaisy,3,0.005467439745585553,45.0
gobo,10,0.01230694112715367,45.0
Torri,3,0.0010551206991681655,45.0
Droogie,6,0.003266842144040628,45.0
laurencaporimo,4,0.008093268493332898,45.0
JMTMA,3,0.002806789271382535,44.0
miahza315,7,0.005380652196831649,44.0
CAFEGUYS,3,0.00479515911686088,44.0
WG,3,0.0032727073753040033,44.0
mike6545,3,0.004300949970893328,44.0
ldinnel,0,0.008513291398233935,44.0
KellyB,14,0.005762187411530452,44.0
Oomaroo,4,0.0021041128210760804,44.0
Comaaz,6,0.01857392023639293,43.0
999dragonfly,0,0.0015612119772649789,42.0
BeachMom,5,0.001130713089969511,42.0
mfamcafe,6,0.004174838479979971,42.0
baristacb,0,0.002081416443171275,42.0
alalli,3,0.002681435950735835,42.0
Momiji,1,0.013146973547269326,41.0
superman0001,1,0.009804603297606363,41.0
kapope23,13,0.001582777692045429,41.0
Starbux,2,0.013306702607540398,41.0
Jesirae,4,0.0070422747964195,40.0
ddinnel,5,0.002861474769785025,40.0
Gypsy78,7,0.003685024712218934,40.0
kellyg76,0,0.005064015672757849,40.0
emb93,4,0.006740926842048669,40.0
Suite210,3,0.014318251547109525,37.0
momof4,6,0.006312542335708838,37.0
CubbyNmikee45,0,0.0008786276513346349,36.0
moorec4,4,0.007073872847898712,36.0
dks64,2,0.021231623094836397,36.0
buggin2stamp,0,0.01847467962390741,35.0
tmtcm,5,0.0026077977967962156,35.0
NazO,0,0.002619473106743896,33.0
ILoveSB,6,0.004785242495633463,33.0
808Richard,7,0.0008731835146170165,33.0
Breve,2,0.004887766004180739,33.0
mrdymae,0,0.0020867472947205977,33.0
calm_dn,1,0.0025768384211466238,32.0
rockfish,1,0.01868224327392334,32.0
GrnTeaLatteOhi,4,0.00874964972683803,32.0
JavaChipSTL,0,0.015843401270923756,32.0
needmorechai,8,0.003167977635034281,31.0
Cofenrvs,6,0.003654206999669882,29.0
33Mac,2,0.004432229125817022,29.0
JavaChicky,1,0.01817262035478355,29.0
another8a,4,0.01658391414355363,28.0
JuliaBuggy,4,0.0030048348913503057,27.0
Serpico,1,0.0033285729948740427,27.0
ElEyeEsAy,7,0.005113177537937381,26.0
txrmac,0,0.0013412646060249123,25.0
Coffeemum2,9,0.0027844618074654263,16.0
amyelizabeth16,9,0.0049183629764265255,12.0
katsrobinson,8,0.0018773849788486935,11.0
Mary034,5,0.0013521142344386213,10.0
carawesty,5,0.0013521142344386213,10.0
sullsandra,5,0.0013521142344386213,10.0
