user,role,degree_w,betweenness,community
Melody,contributor,696,0.2593156107261647,2
1suzeeq,contributor,258,0.11875433723288499,8
TKboss,contributor,466,0.07687607174553131,12
RealSnowWhite,contributor,238,0.04980871135359606,4
amandanor,contributor,129,0.04519120182869605,7
kylizzle,contributor,122,0.04303058911324889,32
mochalvr,contributor,92,0.04111425416825857,18
Nebrhuskr,contributor,334,0.041038054089094105,14
COFFEEIS,contributor,214,0.0382150613527039,12
sweetercandies,contributor,111,0.036597497397727004,27
CShadow,contributor,95,0.03296914336641443,7
SirMark,contributor,221,0.032597983752748416,10
MarkM77,contributor,189,0.029060373612368236,9
buggin2stamp,contributor,82,0.027038709417359436,4
rockfish,contributor,68,0.02617298753557072,30
Rikker,contributor,131,0.02616865356487158,22
INCHRISTICANDO,contributor,262,0.02295098605159855,9
Mochabby,contributor,146,0.022560216000225345,24
RLSMED,contributor,272,0.02177805405564593,24
CamSpi,contributor,143,0.021338632607410438,0
dks64,contributor,159,0.021141385659617047,2
Comaaz,contributor,119,0.02085831208102732,18
Suite210,contributor,93,0.02035276412217881,18
thommie,contributor,73,0.019866101899448742,14
rebafan,contributor,89,0.019763778284619518,2
justpris,contributor,208,0.019264916742012958,17
nikkishear,contributor,117,0.019090155855252144,16
kaylapedia,contributor,628,0.01872080708290488,4
levis1girl,contributor,242,0.018042341213122703,24
cupajoe4evamoe,contributor,550,0.017701871440713213,11
ajfox,contributor,83,0.017684267443395976,25
RavnWyng,contributor,407,0.01760648116169586,6
JavaChicky,contributor,254,0.01710088710598247,10
caseyhoux,contributor,129,0.01598493782083566,21
Diele,contributor,148,0.015246303019841641,11
superman0001,contributor,78,0.014491173676957946,2
JCLSpkt,contributor,79,0.014164116279490645,8
christam,contributor,79,0.013722628038017992,26
papalvarado,contributor,93,0.013676562266929955,28
Momiji,contributor,87,0.013454257018251368,20
deliciousdrink,contributor,88,0.013387188458509683,17
jewls21,contributor,81,0.01299445674750685,2
ekdc,contributor,95,0.012711760282732812,21
hnlworker,contributor,226,0.012018601065767662,6
StarbucksUSA,contributor,86,0.011731022146685059,11
mrfusion,contributor,138,0.011671157118682766,18
yaycafelatte,contributor,166,0.011623877861353308,4
chefmela,contributor,141,0.011510703909792286,9
gobo,contributor,252,0.011497479500633722,7
CeliChix,contributor,89,0.011147725117441441,0
JavaChipSTL,contributor,134,0.011141969236475377,24
ldinnel,contributor,126,0.010922812283866221,4
GrnTeaLatteOhi,contributor,82,0.010906719959865162,9
stbuxcupcake,contributor,77,0.010903233474771854,11
Jesirae,contributor,93,0.010891217389610642,4
ben206,contributor,100,0.010381334060315408,22
sugar12,contributor,77,0.010369162192311026,2
Em4Him,contributor,147,0.010102774941920837,2
cita24,contributor,145,0.009923014732235221,17
moorec4,contributor,77,0.00975553565382332,9
gomikego,contributor,79,0.009426960437840323,2
coffeeclanky,contributor,77,0.00937881299458825,10
momof4,contributor,83,0.00908915263620997,18
ohitsrai,contributor,100,0.008994815584504677,2
sdaisy,contributor,164,0.008947582498029858,18
pixeltec,contributor,59,0.008713980735127403,22
emb93,contributor,88,0.008407963554128236,4
sheri402,contributor,78,0.008009740621627612,11
TygerHorse,contributor,97,0.007890451018628961,21
NoName,contributor,77,0.007747694141160838,20
JitterBeanFrap,contributor,50,0.007623147664363534,30
djbruce,contributor,139,0.007616877229842713,14
leahsmith101,contributor,95,0.007580390406988583,21
Haethre,contributor,79,0.007362566275180598,1
laurencaporimo,contributor,136,0.007338932953518614,24
scottk,contributor,79,0.007265800311492544,6
justsmilestevi,contributor,82,0.007163850076127913,11
miahza315,contributor,90,0.007149231644708464,9
SBUXPtnr,contributor,93,0.006868581846436842,20
MsLisaWA,contributor,127,0.00680285947563039,17
kellyg76,contributor,130,0.006744154114893464,4
JordanLCox,contributor,96,0.006613725107255955,5
Bannon,contributor,96,0.006522545874376652,20
another8a,contributor,276,0.006443512296426422,6
CAFEGUYS,contributor,96,0.006435286479341402,18
magrady,contributor,86,0.00642667859011592,24
Whytie,contributor,80,0.006424074864196895,6
Sadie,contributor,97,0.0062578991630007,1
Romie,contributor,97,0.0062578991630007,1
mike6545,contributor,94,0.0062485720363121625,18
ashesvondust,contributor,109,0.006205209132294877,16
ElEyeEsAy,contributor,126,0.00591394926823594,9
Gam51,contributor,103,0.005846947698847958,0
lelusama,contributor,92,0.005809858927121315,18
ninotwo,contributor,68,0.005732154953905603,10
Callie_,contributor,146,0.005662273409312097,14
Tabz,contributor,95,0.0055268592841486025,18
33Mac,contributor,138,0.005504602188846524,2
Lovey,contributor,96,0.005475032986296644,18
nomelon,contributor,65,0.005325634668670282,2
keepon83,contributor,96,0.005241496137822741,18
Droogie,contributor,98,0.005026057353219966,18
LadyKathryn,contributor,58,0.004878351095475216,24
joe9614,contributor,131,0.004857067467994381,24
JuliaBuggy,contributor,71,0.004801592409804107,9
traciemarie6,contributor,93,0.00464193782399761,17
Gypsy78,contributor,64,0.0045966017585185774,4
7MarsKitagawa,contributor,115,0.0044467685874243455,10
thedennisclan1,contributor,147,0.004435345568823472,14
mfamcafe,contributor,91,0.004393770502495163,1
pumpkinmocha,contributor,91,0.004301714851487114,24
amyelizabeth16,contributor,89,0.0041532606459343735,16
karamia,contributor,127,0.004152712690668136,14
needmorechai,contributor,59,0.004152393277596681,30
JavaOcha,contributor,81,0.0041334018272520204,2
Cofenrvs,contributor,96,0.004129505071501961,1
archie8400,contributor,140,0.0039402185822476656,24
Breve,contributor,82,0.003932542168769849,10
bgweorg,contributor,77,0.0037562756283366174,25
Starbux,contributor,134,0.0037529053575802904,18
ILoveSB,contributor,72,0.003744429634227652,22
xuxa,contributor,93,0.0037278960996144765,24
ManUtd,contributor,93,0.003665347731435878,20
studentc,contributor,145,0.0036481828628450565,14
piratemomma3,contributor,92,0.003640854958662619,28
rcowboy2,contributor,20,0.0036167286561269367,6
skookum66,contributor,20,0.0036167286561269367,6
KellyB,contributor,95,0.0035631589947086846,20
caliirishfan,contributor,98,0.0035407970802293744,5
alimet,contributor,78,0.003523351503857873,14
Dee_UK,contributor,79,0.0034941961172446057,25
Arkamus,contributor,96,0.0034444796380228336,18
Coachella,contributor,142,0.003415451893785915,24
BrendaVann,contributor,102,0.003322904712569294,24
ShortLatte,contributor,65,0.0033134353525480567,11
Reysboo,contributor,80,0.003251778957098625,26
lulu_bee23,contributor,97,0.003220202027685815,5
annie_O,contributor,98,0.0032130178987918086,17
Tazoplz,contributor,98,0.0031749154482966576,17
JMTMA,contributor,79,0.003141553797435128,18
biblio,contributor,23,0.003107645938707167,6
gordybay,contributor,23,0.003107645938707167,6
flogger1,contributor,23,0.003107645938707167,6
brodave,contributor,51,0.0030830925694977644,0
MiMi0688,contributor,96,0.003003590752755253,24
WG,contributor,121,0.0029680688995311296,18
NazO,contributor,80,0.0029611740332009854,4
luvpink,contributor,75,0.0029560535104971287,18
minniebunny,contributor,165,0.0029390779306820844,24
Hope1,contributor,97,0.002937011296323599,17
imputedgrace,contributor,97,0.002937011296323599,17
kioraatua,contributor,172,0.0029358923977458443,9
KrystalCap,contributor,79,0.0028650262958829988,28
fizzypop,contributor,33,0.0028554319523414994,2
nodairy,contributor,33,0.0028554319523414994,2
twilatwa,contributor,33,0.0028554319523414994,2
teresamc,contributor,33,0.0028554319523414994,2
sarah_g,contributor,33,0.0028554319523414994,2
restnest,contributor,33,0.0028554319523414994,2
Milan,contributor,247,0.0027778567086236806,2
wildhamiam,contributor,69,0.0027646656561999923,9
TheMaster,contributor,28,0.002736345211571632,6
Veralein,contributor,28,0.002736345211571632,6
Yusef,contributor,28,0.002736345211571632,6
ddinnel,contributor,92,0.0027171480246962645,5
Coffeemum2,contributor,107,0.00270835330371621,4
MissJackiTX,contributor,92,0.002641633182389562,24
Oomaroo,contributor,79,0.002618584321460328,21
Suspecthree,contributor,129,0.0025489850155377305,14
amynico,contributor,98,0.0025487216988805757,17
David1977,contributor,95,0.0024974716014556997,14
ellemo,contributor,70,0.002493054697137756,6
