community,size,modularity_G_co
0,75,0.8422337119635671
1,48,0.8422337119635671
2,217,0.8422337119635671
3,49,0.8422337119635671
4,238,0.8422337119635671
5,86,0.8422337119635671
6,156,0.8422337119635671
7,76,0.8422337119635671
8,48,0.8422337119635671
9,154,0.8422337119635671
10,159,0.8422337119635671
11,119,0.8422337119635671
12,86,0.8422337119635671
13,14,0.8422337119635671
14,165,0.8422337119635671
15,4,0.8422337119635671
16,72,0.8422337119635671
17,96,0.8422337119635671
18,195,0.8422337119635671
19,44,0.8422337119635671
20,75,0.8422337119635671
21,90,0.8422337119635671
22,130,0.8422337119635671
23,50,0.8422337119635671
24,142,0.8422337119635671
25,68,0.8422337119635671
26,71,0.8422337119635671
27,77,0.8422337119635671
28,47,0.8422337119635671
29,35,0.8422337119635671
30,91,0.8422337119635671
31,14,0.8422337119635671
32,73,0.8422337119635671
33,11,0.8422337119635671
