c1,c2,weight
0,1,46
0,2,97
0,18,94
0,20,43
0,22,38
1,2,1
1,10,1
1,18,121
1,20,45
1,22,2
1,25,27
2,4,22
2,6,155
2,8,34
2,9,39
2,10,115
2,11,62
2,12,38
2,14,2
2,16,1
2,17,1
2,18,99
2,20,44
2,22,116
2,24,4
2,25,34
2,26,1
2,27,1
2,28,1
2,29,51
2,30,1
4,5,285
4,6,111
4,7,78
4,8,1
4,9,200
4,10,32
4,11,1
4,12,48
4,14,418
4,16,71
4,17,194
4,21,45
4,24,341
4,26,35
4,27,1
4,28,42
5,7,1
5,9,47
5,12,2
5,14,165
5,16,1
5,17,48
5,18,1
5,21,41
5,24,225
5,26,44
5,28,1
6,8,44
6,9,119
6,10,52
6,11,83
6,12,80
6,14,103
6,16,26
6,17,36
6,21,72
6,24,200
6,28,2
7,8,46
7,9,1
7,14,1
7,24,1
7,28,1
7,32,48
8,11,52
8,21,46
8,30,20
9,11,1
9,12,81
9,14,53
9,16,114
9,17,51
9,18,43
9,21,4
9,24,32
9,26,71
9,28,87
9,30,23
10,11,173
10,12,46
10,14,2
10,18,1
10,20,36
10,22,1
10,25,27
10,27,62
10,30,18
11,12,67
11,16,28
11,18,45
11,20,3
11,21,99
11,24,29
11,26,2
11,27,30
11,30,2
12,14,41
12,16,1
12,17,5
12,18,1
12,20,1
12,21,48
12,24,14
12,26,19
12,28,1
12,30,37
14,16,3
14,17,183
14,18,1
14,21,4
14,24,468
14,26,97
14,28,96
14,30,46
16,17,1
16,21,29
16,24,1
16,26,55
16,28,1
17,21,6
17,24,163
17,26,27
17,28,1
17,30,29
18,20,268
18,22,112
18,24,1
18,25,28
20,22,93
20,24,2
20,25,1
21,24,52
21,26,44
22,24,47
22,25,70
24,26,87
24,28,4
24,30,125
26,30,1
28,30,27
