suggestionId,author,title,category,votes,timestamp,segment,n_comments,author_betweenness,author_degree_w,author_community,author_role,success
49997,camptatum,"Please, please give me a star for each coffee I purchase",Starbucks+Card,350940,10/1/2012 7:33 PM,top,50.0,0.0,0,-1,unknown,1
41944,katlatte,Buy 10 get 1 free!-,"Ordering,+Payment+%26+Pick-Up",107790,5/13/2008 7:33 PM,top,50.0,0.0,0,-1,unknown,1
102990,ZGdoglvr,Almond Milk Please,Coffee+%26+Espresso+Drinks,95420,8/9/2011 10:10 AM,top,38.0,0.0,0,-1,unknown,1
38067,conniemx,Great conversation at Starbucks?,Building+Community,95190,3/24/2008 8:47 PM,top,49.0,0.0,0,-1,unknown,1
10194,deetfind,Recycling,Social+Responsibility,90960,10/9/2008 10:28 AM,top,2.0,0.0,0,-1,unknown,1
107407,evanschwa,Alternatives to dairy and soy,Coffee+%26+Espresso+Drinks,90870,11/3/2010 11:38 AM,top,50.0,0.0,0,-1,unknown,1
49697,ibarista,Rewards for number of years at Gold Status,Starbucks+Card,81400,10/16/2013 9:40 AM,top,50.0,0.0,0,-1,unknown,1
46359,hjohnson14,Electronic Rewards,Starbucks+Card,80760,4/15/2011 8:18 PM,top,0.0,0.0,0,-1,unknown,1
77507,stef6886,Birthday Brew,Other+Product+Ideas,79420,3/19/2008 12:11 PM,top,50.0,0.0,0,-1,unknown,1
48918,schteekaline,Have double or triple points days,Starbucks+Card,73480,10/30/2013 1:29 AM,top,50.0,0.0,0,-1,unknown,1
50089,hmaxone,Black Rewards Level!? (higher than gold),Starbucks+Card,71570,9/20/2012 10:37 PM,top,11.0,5.140348220255206e-10,23,11,contributor,1
47738,jiujitsugirl,Bring back Free Syrup / Soy for My Rewards members,Starbucks+Card,68280,9/18/2012 6:19 AM,top,50.0,0.0,0,-1,unknown,1
50020,Rufusrw,WiFi,Atmosphere+%26+Locations,67200,3/19/2008 1:33 PM,top,6.0,0.0,0,-1,unknown,1
48817,Orlando,10% Bonus on Starbucks Card Reloads,Starbucks+Card,63110,3/24/2008 8:31 AM,top,50.0,0.0,0,-1,unknown,1
49531,RMnmtkl,Connect Treat Receipt to Gold Card,Starbucks+Card,61430,7/24/2013 6:44 PM,top,49.0,5.553017086026915e-06,45,3,contributor,1
49800,Highlandsgirl8,Email a reminder before Free Drink Reward and Birthday Gifts expire.,Starbucks+Card,60300,10/16/2013 5:45 AM,top,50.0,0.0,0,-1,unknown,1
99650,freesyrup,Free syrup for gold rewards cards,Coffee+%26+Espresso+Drinks,52220,11/20/2013 6:09 PM,top,50.0,0.0,0,-1,unknown,1
48908,Bristolian,Notify barista on-screen of card reward.,Starbucks+Card,45060,4/15/2013 3:50 PM,top,48.0,0.0,0,-1,unknown,1
204,Suz01,"I'll buy you a drink"" - remotely",Other+Product+Ideas,43950,3/20/2008 11:45 PM,top,50.0,5.195148194119287e-07,48,8,contributor,1
26236,4XXS,Automatic ordering via swipe of card,"Ordering,+Payment+%26+Pick-Up",39950,3/19/2008 11:18 AM,top,50.0,0.0,0,-1,unknown,1
11040,IMWizOrt,Starbucks VIP Card,Other+Experience+Ideas,39570,3/19/2008 12:09 PM,top,50.0,0.0,0,-1,unknown,1
99570,csallred,Free Drink when you purchase a mug or tumbler,Coffee+%26+Espresso+Drinks,38900,11/5/2013 12:59 PM,top,50.0,0.0,0,-1,unknown,1
101487,suzy_mocha,special discounts days for your gold card members,Coffee+%26+Espresso+Drinks,38100,11/20/2013 6:36 PM,top,49.0,0.0,0,-1,unknown,1
35157,janlooper,Name badges for baristas,Building+Community,37590,6/14/2010 4:23 PM,top,50.0,0.0,0,-1,unknown,1
41982,Captain4,Gratuity when using gift card,"Ordering,+Payment+%26+Pick-Up",37470,6/9/2010 6:38 PM,top,21.0,0.0,0,-1,unknown,1
48179,PowerFactory,Reward Drink Expiration,Starbucks+Card,36830,10/18/2013 10:55 AM,top,50.0,0.0,0,-1,unknown,1
64629,cns0714,Please add some VEGAN snacks and sweets options!!,Food,36430,1/3/2012 4:45 PM,top,15.0,0.0,0,-1,unknown,1
99634,ElitheCat,3 shots in a venti espresso drink,Coffee+%26+Espresso+Drinks,36130,11/6/2013 8:38 PM,top,50.0,0.0,0,-1,unknown,1
98053,meme,sell  reusable sleeves,Merchandise+%26+Music,32980,3/19/2008 12:02 PM,top,50.0,0.0,0,-1,unknown,1
108171,mransom,Coffee ice cubes for iced drinks,Coffee+%26+Espresso+Drinks,32720,9/28/2010 11:19 AM,top,49.0,0.0,0,-1,unknown,1
64198,fictoriee,Gluten Free Please...,Food,32570,1/5/2013 10:06 AM,top,8.0,0.0,0,-1,unknown,1
107595,MyDora,"Have a option of dark chocolate in coffee, espresso, and frap drinks.  It's good for the heart!",Coffee+%26+Espresso+Drinks,32190,9/14/2012 10:58 AM,top,50.0,0.0,0,-1,unknown,1
27700,Brendan,separate brewed coffee line/card swiping,"Ordering,+Payment+%26+Pick-Up",30690,4/28/2008 2:40 PM,top,34.0,0.0,0,-1,unknown,1
99511,Jessica85,Bring back FREE syrups?!?,Coffee+%26+Espresso+Drinks,29370,11/20/2013 6:11 PM,top,31.0,0.0,0,-1,unknown,1
27511,pinoak19,"How about ""A Penny to Fight PKD"" Campaign?",Building+Community,29300,3/29/2008 10:14 AM,top,50.0,0.0,0,-1,unknown,1
46018,timsqueen,Bring back Gold Rewards,Starbucks+Card,29120,9/18/2012 1:00 PM,top,27.0,0.0,0,-1,unknown,1
49985,Diele,Star Milestone Incentives,Starbucks+Card,28800,9/8/2010 5:34 PM,top,47.0,0.005592011333523047,355,1,contributor,1
