c1,c2,weight
0,1,3880
0,2,1449
0,3,723
0,4,1609
0,5,92
0,7,220
0,8,846
0,9,365
0,11,804
0,12,573
0,13,161
0,16,636
0,17,392
0,18,1148
0,19,704
0,22,58
0,23,6
0,25,223
0,28,14
0,31,545
0,32,53
0,33,125
0,35,113
0,37,330
0,38,244
0,39,204
0,40,410
0,42,1
0,44,122
0,45,5
0,46,137
0,47,80
0,48,20
0,49,31
0,50,99
0,57,20
0,58,10
1,2,134
1,3,128
1,4,489
1,5,29
1,7,177
1,8,210
1,9,66
1,11,325
1,12,184
1,13,15
1,16,242
1,17,15
1,18,254
1,19,162
1,22,7
1,23,3
1,25,85
1,31,206
1,32,34
1,33,66
1,35,7
1,37,61
1,39,96
1,40,41
1,44,35
1,45,18
1,46,52
1,49,27
1,50,102
2,3,408
2,4,16
2,5,75
2,7,341
2,8,1494
2,11,45
2,12,3
2,16,59
2,17,6
2,18,32
2,19,1
2,22,1
2,23,9
2,31,52
2,33,6
2,35,149
2,37,2
2,38,2
2,39,14
2,42,16
2,45,2
2,46,2
2,47,18
2,50,4
3,5,48
3,7,196
3,8,389
3,11,2
3,12,7
3,18,44
3,19,1
3,23,33
3,33,54
3,35,28
3,39,20
3,40,42
4,7,12
4,8,6
4,9,568
4,11,32
4,12,1147
4,13,1
4,16,285
4,17,2
4,18,1
4,19,736
4,21,47
4,22,218
4,25,196
4,28,46
4,31,2
4,32,1
4,33,58
4,37,38
4,39,24
4,40,79
4,45,34
4,46,39
4,47,18
4,50,347
4,62,5
5,7,26
5,8,191
5,16,1
5,17,1
5,18,30
5,23,5
5,31,1
5,33,1
5,35,50
5,40,9
5,50,1
7,8,1284
7,11,45
7,16,2
7,17,9
7,18,78
7,19,3
7,21,1
7,23,65
7,31,11
7,33,1
7,35,199
7,40,1
7,42,1
7,50,1
8,9,1
8,11,27
8,12,51
8,16,28
8,17,11
8,18,151
8,19,16
8,23,104
8,31,41
8,33,8
8,35,782
8,37,29
8,39,21
8,40,18
8,42,1
8,45,3
8,46,30
8,47,36
8,50,16
9,11,16
9,12,317
9,16,166
9,17,1
9,18,2
9,19,221
9,21,9
9,22,84
9,25,271
9,28,15
9,31,1
9,33,19
9,35,45
9,37,1
9,40,18
9,45,1
9,46,32
9,50,343
11,12,41
11,13,19
11,16,107
11,17,2
11,18,25
11,19,3
11,25,1
11,31,13
11,32,2
11,33,11
11,35,8
11,37,4
11,38,2
11,39,21
11,40,17
11,50,2
12,13,28
12,16,213
12,17,43
12,18,36
12,19,573
12,21,8
12,22,306
12,25,203
12,28,16
12,31,68
12,33,19
12,35,1
12,37,4
12,38,1
12,40,2
12,46,29
12,50,104
13,16,2
13,40,17
16,17,49
16,18,10
16,19,50
16,22,48
16,25,2
16,28,1
16,31,46
16,37,2
16,40,77
16,45,1
16,46,24
16,50,41
17,18,23
17,19,1
17,35,15
17,37,1
17,39,6
17,50,1
18,19,4
18,22,20
18,23,3
18,25,1
18,31,27
18,32,1
18,33,1
18,35,5
18,37,2
18,39,68
18,40,25
18,44,15
18,46,1
18,50,1
19,22,45
19,25,107
19,28,15
19,31,18
19,37,1
19,40,1
19,45,1
19,46,28
19,50,130
22,25,39
22,31,1
22,37,5
22,50,3
23,33,1
23,35,5
25,28,7
25,50,109
28,40,1
28,50,8
31,35,3
31,37,1
31,40,54
31,46,1
32,38,1
32,46,1
33,35,14
37,39,1
37,40,17
40,46,48
40,50,8
45,46,1
45,50,23
46,50,2
